"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Costa Rica","CRI","Number of surgical procedures (per 100,000 population)","SH.SGR.PROC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3746","","","",
"Costa Rica","CRI","Risk of impoverishing expenditure for surgical care (% of people at risk)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","11.8","10.8","12.1","11.9","10.8","12.5","10","9.8","8.8","10","8.7","8.2","8.2","8.3",
"Costa Rica","CRI","Risk of catastrophic expenditure for surgical care (% of people at risk)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3","16.6","16","16.5","16.2","14.2","14.9","11.4","11.1","9.5","10.8","9.5","8.3","8.3","8.2",
"Costa Rica","CRI","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.5","","","","","23.1","","","","","20.2","19.7","19.3","18.7","18.2","17.7","17.4","",
"Costa Rica","CRI","Households and NPISHs Final consumption expenditure per capita growth (annual %)","NE.CON.PRVT.PC.KD.ZG","","-8.02073773113449","1.87011079686302","4.02844594803915","3.02861015798253","8.88653320028492","3.15884173179535","0.724953458151603","3.47216056267968","4.0132353875501","4.28947018237926","3.61762888614554","-2.32500521189894","7.42924449423622","2.03104790092357","-4.89769371989487","2.33051175858128","15.2030632653666","0.168260389540322","-3.76494584654701","7.31019918786184","-16.6401248534015","-9.23266299974244","11.0473466648257","4.57178853158283","1.25743558206165","3.38898450081011","0.891849857227612","0.610835797142784","1.92295739103918","0.923409121205182","0.333524214140326","6.83331559880457","6.67633207352669","2.49774361239179","-0.34304817400735","-0.606475608502095","2.36942179418679","2.17159621838672","-0.71304612490168","-1.04195652280353","0.568005988779333","2.31152222351821","2.38160700418459","1.052750343828","3.30035965127304","3.60837594594014","6.1388104723811","4.39789503276758","-0.375552713812681","3.57628396675452","4.9565769730403","4.917500444301","1.77956035054805","3.02999198602336","3.52744259099731","2.44468707893218","1.61317888502035",
"Costa Rica","CRI","Households and NPISHs Final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","2189.44871011717","2013.83877132096","2051.49978761485","2134.14334768305","2198.77822989689","2394.17338729731","2469.8015353868","2487.70644702707","2574.08360919598","2677.38764350536","2792.23338814023","2893.24602975819","2825.97790877325","3035.92671696912","3097.5878428277","2945.8774775813","3014.53149858973","3472.83262947473","3478.67603118517","3347.70576243423","3592.42972189171","2994.64493089822","2718.15945638952","3018.44395443961","3156.44082898093","3196.13103909126","3304.44742463164","3333.91813427038","3354.28289968194","3418.78433061774","3450.353696961","3461.86146201385","3698.42138130664","3945.34027420099","4043.88475888696","4030.01228606264","4005.57124452803","4100.48012257756","4189.52599385515","4159.65274110422","4116.31096804231","4139.69186085757","4235.38175820647","4336.25190681387","4381.9018136721","4526.52033308893","4689.8542039762","4977.7554649893","5196.67192532738","5177.15568288387","5362.30547150477","5628.09226972945","5904.85373209907","6009.93416787336","6192.0346915252","6410.45516048339","6567.17072949247","6673.11094104388",
"Costa Rica","CRI","Households and NPISHs Final consumption expenditure (constant LCU)","NE.CON.PRVT.KN","1644293284900","1567862537700","1655744045400","1784875961300","1904005535400","2144127053200","2284997491400","2375176292500","2533286525100","2712547684700","2908429077000","3094320297900","3099893309200","3413478916400","3569779785900","3480957486200","3653944082900","4319466944900","4441244989000","4388233639200","4835730704800","4140416682600","3860806560100","4404255127600","4729822661300","4916155534300","5214481254200","5394765835000","5564433798000","5814731562900","6018180285100","6193605000000","6787308800000","7426134100000","7804555200000","7971304000000","8116594800000","8507566000000","8892110200000","9019346200000","9103285800000","9321408500000","9695328200000","10079569900000","10336437200000","10832633600000","11384563900000","12253595682700","12968272160400","13090940482300","13731358898100","14586970861900","15482754718600","15935289890800","16596646743800","17363660391200","17970999651900","18443220800700",
"Costa Rica","CRI","Households and NPISHs Final consumption expenditure (annual % growth)","NE.CON.PRVT.KD.ZG","","-4.64824298085293","5.60517938191947","7.79902644123986","6.67438951966346","12.6113875897716","6.57006020187836","3.94656017958022","6.65677882939715","7.07622915228366","7.2213068697321","6.39146480724035","0.180104538750612","10.1160129050031","4.57893173879162","-2.4881730814554","4.96951190543959","18.2138217471516","2.81928408420357","-1.19361462678366","10.1976581557216","-14.3786754194113","-6.75318799856677","14.0760371968992","7.3921134055059","3.93953190940115","6.06827261299165","3.45738285385131","3.14504777759272","4.49817131421287","3.49884977490744","2.91491292366769","9.58575498437501","9.41205592413887","5.09580213478775","2.13655737869598","1.82267292779198","4.81693628465966","4.52002605680637","1.43088645032761","0.930661692529327","2.39608757532363","4.01140771805034","3.96316341307559","2.54839544294443","4.80045871124726","5.09507032528083","7.63342180107576","5.83238174496815","0.945911069591702","4.89207338973006","6.23108004203716","6.14098612508862","2.92283369739334","4.150265589971","4.62149769914537","3.49776053560575","2.6276843689665",
"Costa Rica","CRI","Households and NPISHs Final consumption expenditure (constant 2010 US$)","NE.CON.PRVT.KD","2918622708.53459","2782958033.34755","2938947823.24022","3168157141.06897","3379612289.25894","3805828294.08894","4055873504.1907","4215940992.84124","4496586860.31257","4814775650.57976","5162465375.39727","5492422533.05175","5502314635.32114","6058929493.9041","6336363739.53148","6178704042.62136","6485755475.62131","7667059416.9071","7883215602.77439","7789120388.27878","8583428258.81307","7349244969.62032","6852936640.34665","7817558550.92177","8395441344.54773","8726182435.25125","9255710974.12929","9575716338.35087","9876877192.23876","10321156048.8401","10682277794.0228","10993656889.9828","12047481903.2794","13181397637.4666","13853095579.6715","14149074915.4568","14406966273.4738","15100940659.4194","15783507112.0481","16009351176.7009","16158344075.3249","16545512150.0918","17209220101.4715","17891249616.2087","18347189406.114","19227938658.2288","20207615654.9674","21750148193.8513","23018699866.613","23236436296.7274","24373179813.5212","25891892156.4913","27481909661.3444","28285160177.6134","29459069447.533","30820519664.2404","31898547637.9248","32736740788.1339",
"Costa Rica","CRI","Households and NPISHs Final consumption expenditure (current LCU)","NE.CON.PRVT.CN","2200002600","2141903000","2288902900","2506603300","2700103700","3060900100","3179099900","3437900000","3797799900","4110500100","4806499800","5151499800","5752900100","6927000100","9750299600","12035999700","13717799900","17171399700","20411699200","23138500600","27139600400","34343700500","56396800000","118537003000","147848626200","180145193000","216576606200","265215361000","330176135200","403691733000","494129774600","640107700000","836007100000","994585400000","1180047000000","1465991100000","1763619400000","2089726100000","2401386500000","2754539500000","3045650300000","3416765700000","3993411100000","4687908500000","5501026900000","6642203300000","7948056800000","9538561891900","11344234517200","11615336338100","12816129642800","14250900166300","15482754718600","16508734637700","18031968498200","19019942351400","19866560679600","20898790295500",
